archivo,bytes,md5,sha256
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/CMakeLists.txt,544,195b625ec380364c1e89d3b7ad5ba621,4a2933bdd87c932d1fdc28ca8dfaf19eb7da1355c3e9f76578569fa1184a934a
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/README.md,4515,0aa54e103f75d6429ed1c1ae1eb8c5d4,bdcef3b9462d9ba656c64862e93cbeff0fd76d512382d5e8910365b959126da5
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/bme680/CMakeLists.txt,144,7e853ddf6c6c9f0b9f5c9e51bd892043,3ef3b7af2cac22d45663bebb6b5c096d934b82e91733d4e9bc0c9893a290a107
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/bme680/LICENSE,1091,e4d685eaf58c96357e83b864e26bbb44,9c25f040bffdbdb939c496d95f63ebd601675fce05c785acf34cbbffe76635f0
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/bme680/bme680.c,35176,7d26563b87ec62e4c0f3a2c0bd3970af,40241e0acdabf50f2286a7349327bb5321878d4ec7a90f947841718a24b33572
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/bme680/bme680_i2c.c,1631,1e162dd0e6f795601437f57deb6140e0,5b8dbc91df873e2e2586bbe2d98e588a4425f664bc378334e5ae88f77c4e04bf
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/bme680/include/bme680.h,15757,6b26d45e9dc4a78f130dd401ea24a226,12a2c5b0e4bb3eb5ccea2204c9567ee7f52c15fe28c75ddc626401c616250f45
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/ssd1306/CMakeLists.txt,150,38ec0bd32b138252194c22eea321a632,7ec6b24bf06935a9d377c9748f3f2a589357f020c4bc0124d58a8399629cb3e7
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/ssd1306/LICENSE,1067,489b0467a1df674270c5f9c0cf49383b,4ce451ea921157922709324f6065b80a5a1b3dee1412ff771a19537c2e435685
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/ssd1306/include/ssd1306.h,6036,d246eda5a1768022e67e6de92f3e2409,39e40f1e4563199f028a7f7ec3d35363e3ae90ad40f4750ae824b383956f408d
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/ssd1306/ssd1306.c,24160,6f807584cb8659722d2d6012d34b88e0,d9aca1aaf0337b4cc356bdcd3298306dfb8e267b8f30468cb342df1303c277a3
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/ssd1306/ssd1306_i2c.c,8696,8c86dda30ebf37a82b6299cc699cd7a1,c1cb6611385da35ac6fa221f7dbee8a0e988ee11184c6c3dd888be62d64dd1b3
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/wifi_connect_lib/CMakeLists.txt,151,7b0de06012a12846b7dcde6eb4d64ab4,f484dbcb714fc029b882cb481463e3d5e2268cc05c8bc4dcbdf8dfe1b891f0a1
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/wifi_connect_lib/include/config_local.example.h,261,b08e78003c4c16c0defdc3825caacd72,e229447834559979a526c294a243b3cdfc2a5a00ddd09d80650172007d5da028
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/wifi_connect_lib/include/wifi_connect_lib.h,671,7af04daa419aedd2780c88d3d90057d6,b782f0823758cd473b57274ebffc25b383419efe2c49134361ec2950bc664f16
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/components/wifi_connect_lib/wifi_connect_lib.c,2264,0ad94f1c6f20c5e77d22c0a423215c6d,bd1cd992624012a504401e2d072c15cf73d45a3aae148c153f7d022b49e689d4
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/main/CMakeLists.txt,268,4bdc20e359168443c55954e5575832c3,2564fbe0d797e8a054a2f78b6ee7cea8facc478ea92c4c8e35562211b9f06679
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/main/main7.c,35074,5f43c93b11816ee680b5065add6f8cab,ef4034330c13f487a6ff1e6be57d0b0c983defee6f81a6af554f3f5635620519
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/partitions.csv,277,9e2ddff1ed0df1d59a31f63522643896,dfa09085b8d3c716a7f4f283cdcf2a54b9091133e41785e2b7ecb11fef454ec9
ESP2/Firmware nodo 2 - Variables ambientables e integración con ESP1/sdkconfig.defaults,68112,ada17a6576d317b9d69716111a2a668f,0388a106ca4eacf145ddd50e9346b261f24352d960977fdb7b9732cc62abfe0b
ESP2/README.md,926,498bc81cd369a9710ebd2f4d0eacf769,1b6fa209ba36812c059a3ccd3ff29b5aedbb2bb9eedaa63eac2e6d63f7772ce1
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/CMakeLists.txt,499,282348b9f10a7f19a64fe07f66068140,422968e12a489845773b772d1183c1de7b1b70b88a021a63702755169e4c542c
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/README.md,4073,4718b6c7e66ef1c1b8d7ad39bbe2bdbf,a8a27ce1156dff84872fd79d4c3b99633940553816873a61f06ac32f26558e17
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/main/CMakeLists.txt,778,4c9f2e4d67cc8924765ef1328208b6de,4e7625fe493b03537d28edb6bb420cac8e296eb041ca923699bc86506f2a8f3c
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/main/certs/AmazonRootCA1.pem,1187,13e973f895b7a047f65bcf16631a4c83,ad6fb002e6b34c0559fa8f93a3794ff12c4e3f119bd77290c52525123fb9ea74
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/main/certs/README.md,914,ceada3e1f3fe4c70de5627f9be7d74e4,82105f4c8d13ab3570c93fd21bc06027b1490ea76946e5699dbff53da16a580e
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/main/config_local.example.h,542,06d6b178a0629137e569929fac6a5116,e4c79416361bc9e855d3625d93749f0b5d78831abd800538ff194605684a5c8e
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/main/main2.c,16161,3b183a74e9c6149f4314a8f9ceea1966,07bba9dc860f77e13d9198d462f2f6e186c87136c9a7aa4c1bfdde15c189de72
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/partitions.csv,211,e1ef5900940ea6a2fc295d968e15e054,062ec1c7f16853e66f7e3c4de4e323d7c81c3a15139dff0891940008e9e3dc39
ESP3/Firmware nodo 3 e integración con AWS_IoT_Core/sdkconfig.defaults,69811,6cc3e2c7d7fa6519b1a3347f6c75504e,1aa642f99685fabc07add6f5b4750a80fcfb9f5becb7b8c6406a3b4c9be497a8
ESP3/README.md,840,4e666dbfc54add49bdd91edb9b219bd9,03e84dff8d98bfab2ea51b52614d731c5e9c15fedd840f8037e16d084e686cb8
LEEME_DIAGRAMACION.md,1418,b44fca0cd6282d26e45945a7e482cd19,95b21aaf2ddded06f2a6988d58774d80f00288be57a7dd36305cb5a3c2c51661
LEEME_PRIMERO.md,490,1664a9220ee69d993b06085c54d96206,47f30ea4637478df549993e145edc39a8613ec06f9c419d20dd95549823c69cb
LEEME_VERSION_FINAL.md,1390,985b24a674d5003cb0bcdad9307e324c,dee88fa85d85cd09c10c8304e5ca38a8f3e610de315aac8a069414286fd20189
LICENSING.md,568,0eeb1309c77d09a46d7a7357a0ec3d4e,3caafcbcf3c437d37af9ca635881263b882bada0862489d667dce834ed873b4e
README.md,4949,29fd431c9711d53eba8aee7f832f046e,a5096f92502d794cf1264c39a8a645ff00c24b7bbcbbc0d3926c4d1f71aaeea6
THIRD_PARTY_NOTICES.md,2134,9d275e27f3eaeb3bc5a89a2a6a9bf7ad,279ffaf1aca4874d50190af2d9a2eaa7fad08189973eb8f249e9fc9233a53b10
Tesis_Especializacion_TICs.Rproj,217,f65c0aa2a31c9159412ff0e58585c002,c7a6c670c6ac6c0056523c474a67e0490b4e48b1c69d004ca83d15419d627a79
configurar_git.R,3112,ae3062dc55d79376937bf407c801bd33,25025d7d3070522bfa1006e90397e9b93de37a9cbabca91fc47e35a3de392f52
control_cambios/ACTUALIZACION_ANEXOS_REPOSITORIO.md,2972,f4925cbf0a5c183847aad32f3d375583,1870417121f536265898da67f5ee0eb2fa0fe6a3f510b69bc6f1910662aeac1b
control_cambios/TRATAMIENTO_COMENTARIOS.md,4369,43f74e38a6445ff5fef3fe0c0128ffe5,d8d18074d664b6b35d7ca142c04fa5af5fa4b70e07bf2dacf42cb15caeadb4f4
control_cambios/diferencias_fuentes.diff,42621,bcc7a7be368e42ac3dc37bcebb0d369b,cc52a6dde61b68e3f40f9b3c408ef42f16d17614b5c452f4d48a713d5c6c8a2f
control_cambios/intervenciones.json,13214,b265f785b0cd9fdefdd8324276502114,7ca8534a34de4c25c932d3db8ef812f5566dcbf2ff17649a0f8ffa05d6005f9f
control_cambios/verificacion_anexos_repositorio.json,7289,b86502698329a98b7fc3b2aa8f2abd18,77f24e00668886f4e5dee1686fabe20bc2288eafd6bf073f6ee2aef004d322ba
control_cambios/verificacion_estructura.json,1357,fc6eb9c1ef899804c9f384ba0fb56879,cbde6cdf99c087f4a53f2a2619946689d3b9382310b969cdb8f26ef0c6e1dbc0
control_cambios/verificacion_preservacion.json,6330,f35bfb9c2cbdc5b8bcb73db0331084a2,fde7d910ef64b18a1a4f29f54cf49d1f9e6f9168c8a0ab6f22207c900fcc4696
control_diagramacion/GUIA_REVISION.md,4173,4848caabf2ae79baaa6d1a578ca9a609,4ec1eaed3e4152c69c93c6c57730e0f58e87cddac0edc176ec470de5e7e13a29
control_diagramacion/SHA256_ARCHIVOS.json,11447,853fef53283eae0db49107eac35ae98b,f6710652c9eb26b332865b4783b6ad531bdbd9e0281690cb089488edbf1e8adf
control_diagramacion/diferencias_diagramacion.diff,24105,6e167f6039b32ec7665792183deaa9c8,61055946fda6b807e3a7472d06979f86fe94357ccd3c578410a48feabed5bf25
control_diagramacion/intervenciones_diagramacion.json,17383,951f1f2a7a952f69c5bb7a213c6292b9,7fa626c7a0f37aa7410de001a145bebee4c3af5e81e976b96ebd27984b9cb715
control_diagramacion/localizacion_revision.json,4439,4e46adb9736a9cb0a86f660102410ac6,347bd454a3038191d117ea1b18df93b493800c83188ae1a68ffb4bb39b4a9658
control_diagramacion/verificacion_contenido_svg.json,590,8a5bff38712f132d699243dc49063148,14e033f3d2764f691f88234979f31cce698d5c5ff3cfa71046cdee7436381d31
control_diagramacion/verificacion_preservacion.json,4464,ddc794173d749d0019e4e15a208ada58,b7872017dded1c7adf52edcb7850812ce09dd44babba5abc4ab298f9baf5551c
control_diagramacion/verificacion_render.json,1869,75a5f917392c89116088de3ecc28b6b8,77e04301159eadc31f38da7591ee899f313906e02d20495b49e7e052bfde6db8
control_diagramacion/verificacion_textos_figuras.json,584,a359db729b42c2fe2b37ed04df75ccbf,0dda7fb299442578913b844a81e68b935a2fa3651ee3c7ec9dcbc8aa42408800
control_final/REVISION_COMENTARIOS_Y_CAMBIOS.md,4943,e4cc0b7b1a50a676a477c0d38a7b15cf,3cd070788034214360d3072ae091f57727af14ac2d176a5907999a1381540f8f
control_final/SHA256_ARCHIVOS_FINALES.json,12341,7c38840cfdfca20a0cc44eb5280f4dee,636cc4fc2cc256948c471935b66c817050e3780b890662a1b4cd176087cdb2d6
control_final/diferencias_finales.diff,9650,d2b74778294d7763fb20370a1d6aa0d6,b238a39ade0fc91cd2e6bad07b6575230a79553fef0ad5d1b45b026c697113fd
control_final/intervenciones_finales.json,4454,223debf132c96301b9dc6a92557466db,26a8dbcc33abc6ed8b9f022927a8846790d7d64e8ed747a0cbac303faa111e11
control_final/localizacion.json,195,db53fdb7a94a90954828db937c4d4f9d,341e368d231ee1239009089d4861d7c7735a2c5e48280ba8613233f6c64ed1c1
control_final/verificacion_preservacion.json,5260,43c45d102876423f9017179da6a10481,6ead69e10731408fdccf78579e8f2f2f7b7d6af3dddfa26a966efb0b5e487b04
control_final/verificacion_render.json,591,4b1437145233ee174312941fcc82d415,8d1734bc82c382999c6d77a63a24cb48e1017b4aa9297513fe6e5354414571bd
docs/ALCANCE_Y_TRAZABILIDAD.md,2279,5d2376599f78df6145585bfe05692b2f,7f146f685e1b4bca7a0db3af071cc80927c0450f729de553153b61c8ec1c835d
docs/CONFIGURACION_Y_COMPILACION.md,3899,31b6384eb28c194aa976065d81814da8,914c77c3f7f80f24a5bf249a314428bd5fc44035eb444f37d29765cb95b23101
docs/INICIAR_EN_RSTUDIO.md,5175,9abae176630ed6faaccd4362ff76052f,f9656a879d89b7ba372c9f0173bf33614b89c2018ff829e12b22b35ac405ca3a
docs/INTERFACES_Y_TELEMETRIA.md,3735,23d94ced7cb1c592ef7ec8e7cfa61736,d24dd2cd8a52c51b85d7031ed550c6bb404a4d37f247dd59f6197e789c5ea3b3
docs/RUTAS_PROYECTOS.csv,224,72ccacdda5ca4bd53bd379b5a27fa77d,97ea9791409cf496de3fc402df1aa036ab561b6e096ba3fa9ad7f4b9277316c6
docs/SUBIR_A_GITHUB.md,592,941d482048dd481c4b8ac7077505c7b6,0cde17492b52d1a7348d188851608c540a9744f4e4e077e72695d04ec952d657
docs/telemetria_ejemplo.json,266,665ebb80960b29c9060d9a71eef001ea,06d86b2949d4e2433b11e7e495b60b6c150f6f6495bd1853d21e4c0b27860088
preparar_firmware.R,2822,e9bbe5584bdb4440f9ee61d92c81edfe,f26d22104b08993835b82fad2b0e476d61aefa6481df022bebfbe5f77da17299
referencia_original/PDF_OFICIAL_ENVIADO.pdf,6600546,8c27dbf9c5d940b1154d4fcdf3c1d9cd,1f8c8068cbc0bd3562e3d252d91c5e5d00701b5314c7a6a8906e125b5a053e6a
referencia_original/tesis_original_sin_modificar.zip,16938711,56f42b0b5502392d7dfa34c9af838979,575d9bf6f87bf033400a06efde10b4b05c9ccd34d1c574450c7eed55c77fb79d
renderizar_tesis.R,7736,b5329c438986789fd9a12aecfc901f35,5765c5841551532c7dcadd6a82bf653562f8e5d249b09e3e547b032b9180985e
tesis/.gitignore,28,35c52524c042b44ddb3374603ecd97b5,a2c42d7579873fcc1885712af8e33d47a2d84452ca1214383e92b03ed98321c4
tesis/01-introduccion.qmd,6747,73c0f7e564d1ce8a14f421435c594bbd,ce0fa6aaf149eb25de47f7644e94fa41c16dace1e81c8c41c1e18c2e1a166be2
tesis/02-marco-referencia.qmd,46524,5fd36a43366b9aab51c15a705d66f3c4,0e5c1b4fc80b749258ed1afcec0e00e56cd6e6a39c3c0d1d07c42306c84310f8
tesis/03-arquitectura-hardware-iot-edge.qmd,61496,97e70fbcb471d96317f1ab391f77221b,0812b5b69ff26b34221d051bc63b75746f08bfc33ce93f2af6c7084dd2f4fc03
tesis/04-arquitectura-software-aws.qmd,31065,ba84817658e9d8cd17a7527ab7ac0484,fe1eb46f4839dd56b8b116dc4a1e6d914189fca96997e8962f96a1bdaa6bd4e1
tesis/05-pruebas-validacion.qmd,18394,fb5a122f1d03fb9fe1b18f7ac2b311a2,073f446b5abe68ccc666f6eec033b9a894b48caca879a8a2fe488f0384aec31a
tesis/06-analisis-costos-resultados.qmd,20717,7b787a392407cfb159807ebc9107e6f2,f882b4057b24362988ca5bd0fe9241951880f614dc1983161b65293bfb663828
tesis/07-conclusiones-trabajos-futuros.qmd,12846,4b0804df34d7f035ac3ca9f903c4c8a7,650c0e3bb8d5cf3a1dd6aa314b7b4fb482c0d3792b9b82e6bb7f8459d42175bb
tesis/AUDITORIA_BIBLIOGRAFIA_REFORZADA.md,7947,82e9d3b3c38898f85e2b9924105aeff7,500c8a2b9ccf12d002c845260e570cce02ab4e7a19c56f385a4cf7bbfa8640f4
tesis/CORRECCION_RENDER_PDF_AMPERSAND.md,899,155c6b48be5e20601d5366d8c84ffa83,15aab93ca83239052a80a83fb540d1da27d14ead4dd414a93c85cb259386936f
tesis/Desarrollo-de-una-arquitectura-escalable-de-Big-Data-en-AWS-alimentada-mediante-un-sistema-de-IoT.tex,262959,3c5fd365696884693adaeaacf1ac77b7,2b1537de7b34277764dca76e27cda4c576419f7ae62c9f1ad6bfa5b389e68144
tesis/INFORME_INTERVENCION_CITAS.md,3744,58215f3a6f4da7bdac31489cf6422c48,c95a786d7601e811a4eb437e463cb4bad5ddc266a597aa1ea5eda1d29aa6aec6
tesis/INFORME_REFUERZO_BIBLIOGRAFICO.md,3043,f29a04a526f0685fe7b1f51250f1a4f9,1db2451fbd647f04aab99eb863bb50dae3f86da42c2b7788684c3ea46deef54d
tesis/README_ACTUALIZACION.md,831,ccbe4ce46a899ad2baa9e9432c654d7d,c8154b4944589f943599c5baea7a4199ac16e53068c43a483bfcf7513df9d601
tesis/README_ACTUALIZACION_CAPITULO3.md,1384,b2c6213a8dd5d5fce64dc4d34772c8b1,7883df6a9dfee28d3ca367bf45314f8b0b852fe1e02be218edeb742b262fa1d5
tesis/README_CAPITULO4.md,907,b0a9d5efc3309b4172494fb6d509c6c3,fe29173a79c459ed8220307eec4302636c99a051fa7253e6402ef1de8c08543a
tesis/README_CAPITULO4_LIMPIO.md,919,fd433dd60c7b14e4c34e72c50c1901fc,2ce5c6d69fb54139dd271622396ff09ed495e11a57bec9628ad39844b1e279b8
tesis/README_COMANDOS.md,983,00420c4bbaef74f72956ae5c064777e9,536d09b0571dc33f6838e42bd7912d86ae43f54e40d29b22f2c2683150aa8d6c
tesis/README_VERSION_INTEGRAL_V2.md,1210,31a29721ec2e28c901afd026b563f891,ea926a9c707202d31ed337e2b6784232a20225e83d4eee42370866f6591a95a3
tesis/_quarto.yml,1776,b184b64df3384e5c30181f0644ee8ad5,5e233740f5c71131194998f89c8d5ffc167283ac2dc43f93bcd12b666c351d2a
tesis/anexos/anexo-a-codigo-esp1.qmd,2014,09e16d64d51fcf3f3b9f0f63e0f67242,f5404fb38dd4b334ab0819bf8167ae59b8b46a402c497562b46d46fffc0669ae
tesis/anexos/anexo-b-codigo-esp2.qmd,1856,1a8f328c307f8e95d36e128e9fb885b6,0445d9224d7390a712765a59469f4c4cbec6446d91adc8bd55329ffd009a6cd4
tesis/anexos/anexo-c-codigo-esp3.qmd,1608,176d1accfff846c6f62a110608f5be85,03a76ec5f2c40e3b1f0a91493aae165b6416e3665a926de76ce5ffa44a243438
tesis/anexos/anexo-d-lambdas-frontend.qmd,1077,e47b1fe972b39ede15c81b7f339ece8b,93734d4edc1f731b522e525b6a17d03e97834b68f576df8c3e04a9d15a098d49
tesis/bibliografia.bib,62416,de89a456c5f4b9f1c49ad517a3904c5f,a56340ad7e4c58935e09de56ddf468da637aebcd7cd401ff29dfea64bcd6df8c
tesis/bibliografia_append_capitulo2.bib,4701,ef207b6b83304887331ff3e7ee015a6e,bca99a7b5de4dc221f9519c895e1c2bc9d55182f3bc1b13622ba7b47a35a11d1
tesis/bibliografia_append_capitulo3.bib,3328,dfd50a66a32489547bc5c6509fd6fad3,7427a918babc78661c06e97ae707770eba36271bd6d2af433896e9a29b478ae6
tesis/bibliografia_append_capitulo4_aws.bib,5195,bf23ea153bd08288e87b62e4c5c09c8e,0de83fcbdfdb10b4e09b46373823890d860c64b0c2446808cb3208d83b6561ad
tesis/bibliografia_capitulo2_mas_capitulo3.bib,37093,e9b1af1125b68cfc88b2b659772f8c5e,c9eb01d15f3643caa9725ca8f96afa9c981c6d84d8cfce154af86ceacfc1724a
tesis/fig/README_figuras.md,85,6d6cc099192277757042a43e4f1b8e38,6b52eba4b5d3eecc6d67c9ecc404d5dc3100d82006d1cdbe01517d80583463b7
tesis/fig/arquitectura_iot_edge_esp32.png,179908,4ef8d822dd0c92fa316555cf3849f65f,00d652d6047b80116ff228ecb5239d4db42ce5522f829cd08e1fcc07513fceea
tesis/fig/arquitectura_referencia_redisenada.png,2319555,fbfcc8a536474bc41dc65fad341289cd,67a9bb2a485eef5746413ee0d9886e0ef9020338d286d17c3c3ddca68bdc53df
tesis/fig/cap4_arquitectura_software_aws_final.png,1335600,b5485f58a8249b47d1921b37cfb906a0,f409044159b50bf0248bb1cc42121d071614bdcfb06d405d722ffb1aa5cc4e32
tesis/fig/logo_utp.png,34349,ec5c3886a707979bab4b1abb2f982e0b,49a91c988cb05c029a0089eae9112cdf4a1e0c767c7a5f0f1924247bba74c1fd
tesis/fig/placeholder-arquitectura.png,7266,549d03d5c62bbfe7356834386879a203,25a452449506602ecd15b0fd7a29e93bfbd47f0242aed6518d8cc164ab26a2e0
tesis/fig/revision_director/01_capas_arquitectura.pdf,26521,cd3c80f0e7f90f41bab12f0c8b17565d,f66018214396556afda25ae96b22947d1ed793f3b437af0f2cab690a346e5051
tesis/fig/revision_director/01_capas_arquitectura.png,262121,86e7b1df6a4ce31fb176aa6a62415a5f,f3e1d8a88bb967ac60f6de23dc2f7cc39d4acc8d5bad9654faf5fec02674ae29
tesis/fig/revision_director/01_capas_arquitectura.svg,4662,658644f0176b3c94839294202d8e79bd,702c69f3e3d80d804b224d293266a8f19f4d18ed779a36d113f0a3a18c33ea4a
tesis/fig/revision_director/02_osi_arquitectura_matriz.pdf,35491,9f70d3633cdd50bbdfccdd9bf80981fb,a0e1310f3df442aaf8a05b1a449a7d9881ca516dcdab67374e0d2d210c84f40a
tesis/fig/revision_director/02_osi_arquitectura_matriz.png,453792,6e0c2cb965ab3656500dcf9025650e2a,393839e1777375649b2f377598b7d2c228ecea6ac99c6c3f9feb261a198f6956
tesis/fig/revision_director/02_osi_arquitectura_matriz.svg,13089,ec4948b63716fc4c349867f502486ff4,8384333e8ddafbd3d3da78ceda7ee76b98d64f38a1bbff8018a7d80843aff9d4
tesis/fig/revision_director/03_comparacion_arquitecturas.pdf,23880,4c15ace8723006577cf21003f7a3bfd5,fc68edf7a13844f29e64f2d293cb36f662219481d882b0d4c601a4e9f379ca0e
tesis/fig/revision_director/03_comparacion_arquitecturas.png,267269,8885eeb2114046f0fb1b78d7a37a0008,6172ac3324058fc92c506180ecb2e9575a7f1f0dc3604eaac6828cbf713f886d
tesis/fig/revision_director/03_comparacion_arquitecturas.svg,6411,55903a4421ae3cc670ef04b3b29136fe,db6104962d6a27179f10e8260e7348ff3e7e7f09e89f4b0dcace657621343b8c
tesis/fig/revision_director/04_arquitectura_aws.pdf,32183,5690821fa8ae78a97695141c22ddcd7e,8d8bf9e2f98b704a3fb6e33b8aba3d64887df2c53fd27ec799a47daf3c865222
tesis/fig/revision_director/04_arquitectura_aws.png,293993,0ff912a7fb344f44bafd22337740220e,83a2542a3c367bc132a1a34fb5667e034097a050a13e85db891d72d524886053
tesis/fig/revision_director/04_arquitectura_aws.svg,7651,145f5ba58de571e1c27f0d3332d678de,0d90f7c366406e3097e1b1d749ec7c9bc6af1565e349718221940f2868f25372
tesis/images/pruebas_validacion/p01_esp1_desenergizada.jpg,154527,563a7f072f9b7ab5ea0327dbe92d9d77,fc8f362a845ba42792a30a3ddc8f67443f1a69245d29f31bc44d67e698c9e8d5
tesis/images/pruebas_validacion/p02_iotcore_payload_espnow_false.png,22557,2960761a94b3365ca8f3fc7d34c9c948,57f17f7e18f809341d3d2dd164f6bdbbc2ca9560c32ef1aef9823bdcce0c5008
tesis/images/pruebas_validacion/p03_esp1_logs_vscode.png,101899,daed2a38986a7237e96e8721840e7a23,847c1de98b3d3ec50504765648569980ecd4e03963bc05e9d15ce2c6f869b50c
tesis/images/pruebas_validacion/p04_esp2_desenergizada.jpg,341824,b7140114e2190dbb00247b3d8d629a49,7548524f7ad990eac0529f45ceefae4072c193b6808a2f76618d23dab5e54334
tesis/images/pruebas_validacion/p05_iotcore_sin_mensajes_esp2.png,88116,14f46d0cfea389be44ff6f0ad2a04f97,3ca6e359692ca77d55e6378f4cca1b9237683d3bfc3032a18ac071b929de1fd7
tesis/images/pruebas_validacion/p06_esp2_logs_vscode_uart.png,191772,e231ba0ed6eee2fc50af567ee5b46f64,a6fe2bdd9130b37a3ec9998e356f894df22b9537346808fac3e15c3a91b2c85b
tesis/images/pruebas_validacion/p07_esp3_desenergizada.jpg,262579,56a879ec558b1a39d2186f6920fa76f6,401903423554d3799d07a76671ccab50c8ebe00eec46f44d7ae58e706ff58e16
tesis/images/pruebas_validacion/p08_iotcore_sin_mensajes_esp3.png,88924,6840589503ca7e688b43c2ffc44967be,2d56d74e630a7919f3e1cda403abeb97ad6ca1ecbb91f67b5a62f74c6bacb79e
tesis/images/pruebas_validacion/p09_esp3_logs_vscode_mqtt.png,228466,3d156866aa08c4a4e29594bb06104f7b,f38b02d758179c8d33422ddb5dce03596572892aaeb3557f07b2783b5e429dd4
tesis/images/pruebas_validacion/p10_iotcore_recibiendo_mensajes.png,235989,b5a616f68f228f8ce34b591b90fec217,e07c664ad380aa4d1169a3f449b2053419d78c22d626ea0c12358e2c2d4a69f1
tesis/images/pruebas_validacion/p11_iotcore_politica.png,170280,2de2a9e97fd77165934378aa83a757df,f695d00ef41c050b067695ea877615e7aedcc04f32b7805973d9450f2906b442
tesis/images/pruebas_validacion/p12_dynamodb_turbina_latest.png,132279,d8878ceb05ec2b82583a0596f217cdff,62b7bade250bcca88a9311f774d87def9370b2ff81f8b410745e2360c1ee546f
